Uf,Ibge,Municipio,Atendimento Individual,Atendimento Odontológico,Procedimento,Visita Domiciliar,,Total
MS,500510,JATEÍ,0,0,1,0,,14056
MS,500375,ELDORADO,0,0,1,0,,
MS,500525,LAGUNA CARAPÃ,0,0,1,0,,
MS,500025,ALCINÓPOLIS,0,0,1,0,,
MS,500780,SELVÍRIA,0,0,1,0,,
MS,500020,ÁGUA CLARA,0,0,1,0,,
MS,500100,APARECIDA DO TABOADO,0,0,1,0,,
MS,500490,JARAGUARI,0,0,1,0,,
MS,500240,CAARAPÓ,0,0,1,0,,
MS,500085,ANGÉLICA,0,0,2,0,,
MS,500690,PORTO MURTINHO,0,0,2,0,,
MS,500320,CORUMBÁ,0,0,2,0,,
MS,500830,TRÊS LAGOAS,0,0,2,0,,
MS,500345,DEODÁPOLIS,0,0,3,0,,
MS,500500,JARDIM,0,0,4,0,,
MS,500560,MIRANDA,0,0,4,0,,
MS,500790,SIDROLÂNDIA,0,0,5,0,,
MS,500390,FIGUEIRÃO,0,0,6,0,,
MS,500470,IVINHEMA,0,0,7,0,,
MS,500220,BONITO,0,0,9,0,,
MS,500080,ANAURILÂNDIA,0,0,15,0,,
MS,500400,GLÓRIA DE DOURADOS,0,0,24,0,,
MS,500660,PONTA PORÃ,0,0,24,0,,
MS,500150,BANDEIRANTES,0,0,27,0,,
MS,500325,COSTA RICA,0,0,29,0,,
MS,500710,RIBAS DO RIO PARDO,0,0,32,0,,
MS,500380,FÁTIMA DO SUL,0,0,34,0,,
MS,500280,CARACOL,0,0,53,0,,
MS,500295,CHAPADÃO DO SUL,0,0,110,0,,
MS,500600,NOVA ALVORADA DO SUL,0,0,144,0,,
MS,500090,ANTÔNIO JOÃO,0,0,153,0,,
MS,500315,CORONEL SAPUCAIA,0,0,153,0,,
MS,500430,IGUATEMI,0,0,296,0,,
MS,500620,NOVA ANDRADINA,0,0,303,0,,
MS,500070,ANASTÁCIO,0,0,519,0,,
MS,500060,AMAMBAI,0,0,658,0,,
MS,500450,ITAPORÃ,0,0,698,0,,
MS,500110,AQUIDAUANA,0,0,921,0,,
MS,500750,ROCHEDO,0,0,1.325,0,,
MS,500370,DOURADOS,0,0,1.595,0,,
MS,500290,CASSILÂNDIA,0,0,2.146,0,,
MS,500270,CAMPO GRANDE,0,0,4.742,0,,
