Uf,Ibge,Municipio,Atendimento Individual,Atendimento Odontológico,Procedimento,Visita Domiciliar,,Total
MS,500460,ITAQUIRAÍ,0,0,1,0,,15679
MS,500793,SONORA,0,0,1,0,,
MS,500570,NAVIRAÍ,0,0,1,0,,
MS,500410,GUIA LOPES DA LAGUNA,0,0,1,0,,
MS,500100,APARECIDA DO TABOADO,0,0,1,0,,
MS,500210,BELA VISTA,0,0,1,0,,
MS,500520,LADÁRIO,0,0,1,0,,
MS,500325,COSTA RICA,0,0,1,0,,
MS,500085,ANGÉLICA,0,0,1,0,,
MS,500580,NIOAQUE,0,0,1,0,,
MS,500025,ALCINÓPOLIS,0,0,1,0,,
MS,500260,CAMAPUÃ,0,0,2,0,,
MS,500635,PARANHOS,0,0,2,0,,
MS,500770,SETE QUEDAS,0,0,2,0,,
MS,500568,MUNDO NOVO,0,0,2,0,,
MS,500627,PARAÍSO DAS ÁGUAS,0,0,2,0,,
MS,500730,RIO NEGRO,0,0,2,0,,
MS,500315,CORONEL SAPUCAIA,0,0,2,0,,
MS,500020,ÁGUA CLARA,0,0,2,0,,
MS,500200,BATAYPORÃ,0,0,4,0,,
MS,500769,SÃO GABRIEL DO OESTE,0,0,4,0,,
MS,500240,CAARAPÓ,0,0,4,0,,
MS,500470,IVINHEMA,0,0,4,0,,
MS,500220,BONITO,0,0,5,0,,
MS,500450,ITAPORÃ,0,0,5,0,,
MS,500430,IGUATEMI,0,0,5,0,,
MS,500345,DEODÁPOLIS,0,0,9,0,,
MS,500560,MIRANDA,0,0,9,0,,
MS,500500,JARDIM,0,0,13,0,,
MS,500750,ROCHEDO,0,0,15,0,,
MS,500660,PONTA PORÃ,0,0,18,0,,
MS,500780,SELVÍRIA,0,0,18,0,,
MS,500790,SIDROLÂNDIA,0,0,21,0,,
MS,500797,TAQUARUSSU,0,0,48,0,,
MS,500720,RIO BRILHANTE,0,0,49,0,,
MS,500380,FÁTIMA DO SUL,0,0,50,0,,
MS,500400,GLÓRIA DE DOURADOS,0,0,51,0,,
MS,500310,CORGUINHO,0,0,113,0,,
MS,500070,ANASTÁCIO,0,0,114,0,,
MS,500290,CASSILÂNDIA,0,0,145,0,,
MS,500280,CARACOL,0,0,154,0,,
MS,500060,AMAMBAI,0,0,171,0,,
MS,500090,ANTÔNIO JOÃO,0,0,232,0,,
MS,500600,NOVA ALVORADA DO SUL,0,0,248,0,,
MS,500620,NOVA ANDRADINA,0,0,248,0,,
MS,500295,CHAPADÃO DO SUL,0,0,288,0,,
MS,500525,LAGUNA CARAPÃ,0,0,453,0,,
MS,500830,TRÊS LAGOAS,0,0,473,0,,
MS,500110,AQUIDAUANA,0,0,491,0,,
MS,500320,CORUMBÁ,0,0,498,0,,
MS,500370,DOURADOS,0,0,535,0,,
MS,500230,BRASILÂNDIA,0,0,581,0,,
MS,500690,PORTO MURTINHO,0,0,598,0,,
MS,500390,FIGUEIRÃO,0,0,999,0,,
MS,500800,TERENOS,0,0,1.473,0,,
MS,500270,CAMPO GRANDE,0,0,7.506,0,,
