"Uf","IBGE","Municipio","CNES","Estabelecimento","INE","Sigla da equipe","Populaçao"
"MS","500270","CAMPO GRANDE","0010154","SESAU UBS DR ASTROGILDO CARMONA CARLOTA","0001482696","-","4135"
"MS","500270","CAMPO GRANDE","0024473","SESAU UBS BAIRRO CORONEL ANTONINO","0001675958","-","3487"
"MS","500270","CAMPO GRANDE","0010138","SESAU USF DRA ELEONORA M QUEVEDO SILVIA REGINA","0000438979","-","2519"
"MS","500270","CAMPO GRANDE","0010162","SESAU UBS DR IVAN HIDELBRAND DA COSTA BURITI","0000439053","-","2760"
"MS","500270","CAMPO GRANDE","0010162","SESAU UBS DR IVAN HIDELBRAND DA COSTA BURITI","0000439061","-","3233"
"MS","500270","CAMPO GRANDE","0010251","SESAU UBS DR ALBERTO NEDER CAICARA","0000439282","-","2956"
"MS","500730","RIO NEGRO","2646862","UNIDADE BASICA DE SAUDE RIO NEGRO","0001554220","eAPP","67"
"MS","500270","CAMPO GRANDE","0024473","SESAU UBS BAIRRO CORONEL ANTONINO","0000439835","-","2896"
"MS","500790","SIDROLÂNDIA","7040938","POSTO DE SAUDE INDIGENA ALDEIA TERERE","0002123614","eAP","0"
"MS","500660","PONTA PORÃ","3830497","UNIDADE BASICA DE SAUDE DA FAMILIA JOSE ALBERTO F NEVES","0000444006","eCR","79"
"MS","500470","IVINHEMA","2676567","ESF GUIRAY","0001543490","eAPP","233"
"MS","500240","CAARAPÓ","2376180","POLICLINICA CAARAPO","0001565524","eAPP","145"
"MS","500570","NAVIRAÍ","6150616","UNIDADE DE SAUDE PRISIONAL","0000443344","eAPP","1541"
"MS","500660","PONTA PORÃ","6032826","UNIDADE PRISIONAL MASCULINA DE PONTA PORA","0000444065","eAPP","1305"
"MS","500330","COXIM","7468407","UNIDADE PRISIONAL AGEPEN COXIM","0001519859","eAPP","580"
"MS","500348","DOIS IRMÃOS DO BURITI","6254896","PENITENCIARIA DE DOIS IRMAOS DO BURITI","0000441627","eAPP","817"
"MS","500270","CAMPO GRANDE","7975783","MODULO DE SAUDE DO COMPLEXO PENITENCIARIO DE CAMPO GRANDE MS","0001613480","eAPP","3956"
"MS","500370","DOURADOS","2710897","UNIDADE BASICA DE SAUDE VILA ROSA","0001638572","eAP-30h","5139"
"MS","500295","CHAPADÃO DO SUL","0927988","UNIDADE DA ESTRATEGIA DA SAUDE DA FAMILIA ESPLANADA","0002226200","eSF","2698"
"MS","500830","TRÊS LAGOAS","2757044","UNIDADE BASICA DE SAUDE ALTAIR CABRAL TRANIM","0002172216","eAP-30h","1008"
"MS","500540","MARACAJU","2470659","UBS VITORIA MARCONDES TERRA ESF JOSE ALVES MARCONDES","0000443085","eSF","2641"
"MS","500270","CAMPO GRANDE","7096887","SESAU USF DR NELSON TOKUEI SIMABUKURO AERO RANCHO IV","0000440604","eSF","3744"
"MS","500370","DOURADOS","5592607","UNIDADE BASICA DE SAUDE LEVY SCHAUSTZ CABECEIRA ALEGRE","0000442127","eSF","3579"
"MS","500370","DOURADOS","5592593","UNIDADE BASICA DE SAUDE DRA HELENA YOSHIE MORIBE","0001623109","eSF","3180"
"MS","500370","DOURADOS","5592607","UNIDADE BASICA DE SAUDE LEVY SCHAUSTZ CABECEIRA ALEGRE","0001524291","eSF","3059"
"MS","500375","ELDORADO","5395062","PROGRAMA DE SAUDE DA FAMILIA OSVALDO TURQUINO","0000442259","eSF","4430"
"MS","500380","FÁTIMA DO SUL","2599392","ESTRATEGIA SAUDE DA FAMILIA JARDIM O PIONEIRO","0000442305","eSF","3613"
"MS","500400","GLÓRIA DE DOURADOS","2376504","UNIDADE BASICA DE SAUDE DE GLORIA DE DOURADOS","0000442348","eSF","3512"
"MS","500400","GLÓRIA DE DOURADOS","2558718","UNIDADE DE SAUDE DA FAMILIA COHAB","0000442356","eSF","1873"
"MS","500410","GUIA LOPES DA LAGUNA","2376229","UNIDADE DE SAUDE DA FAMILIA RANOLFO PEREIRA DA SILVA","0000442372","eSF","3567"
"MS","500430","IGUATEMI","2374331","UNIDADE DE SAUDE DA FAMILIA VILA ROSA","0000442402","eSF","5051"
"MS","500430","IGUATEMI","5342244","UNIDADE DE SAUDE DA FAMILIA ASSENTAMENTO AUXILIADORA","0000442445","eSF","1953"
"MS","500440","INOCÊNCIA","2536803","UESF SEBASTIAO FRANCISCO RAMOS","0000442488","eSF","2826"
"MS","500490","JARAGUARI","2651467","UNIDADE DE SAUDE FAMILIA I","0001483129","eSF","1845"
"MS","500510","JATEÍ","2646803","UNIDADE DE SAUDE DA FAMILIA GLEBA NOVA ESPERANCA","0000442909","eSF","1624"
"MS","500270","CAMPO GRANDE","9022007","SESAU USF ANA MARIA DO COUTO","0001482602","eSF","3886"
"MS","500270","CAMPO GRANDE","0024422","SESAU USF DR ALBINO COIMBRA SANTA CARMELIA","0001614843","eSF","3908"
"MS","500270","CAMPO GRANDE","7568835","SESAU USF MARIA IVONE DE O NASCIMENTO ARAKAKI VILA FERNANDA","0001644483","eSF","3505"
"MS","500580","NIOAQUE","2376342","UNIDADE DE SAUDE FAMILIA UIRAPURU","0000443409","eSF","973"
"MS","500600","NOVA ALVORADA DO SUL","2482517","UNIDADE BASICA DE SAUDE DA FAMILIA IZABEL MENEZES COELHO","0000443476","eSF","4044"
"MS","500620","NOVA ANDRADINA","2600374","ESF MORADA DO SOL","0000443530","eSF","4580"
"MS","500620","NOVA ANDRADINA","2612062","ESF IRMAN RIBEIRO","0000443573","eSF","4782"
