"Uf","IBGE","Municipio","CNES","Estabelecimento","INE","Sigla da equipe","Populaçao"
"MS","500230","BRASILÂNDIA","2710730","UNIDADE SAUDE DA FAMILIA II DR ANDRE PUCCINELLI","0001545094","eAPP","47"
"MS","500790","SIDROLÂNDIA","7040938","POSTO DE SAUDE INDIGENA ALDEIA TERERE","0002123614","eAP","0"
"MS","500370","DOURADOS","2710897","UNIDADE BASICA DE SAUDE VILA ROSA","0002277727","eAP","2059"
"MS","500375","ELDORADO","4221893","PSF ESF FERNANDO S CONTE","0002410192","-","38"
"MS","500124","ARAL MOREIRA","2591383","UNIDADE BASICA DE SAUDE CIRILLO ROSSATI","0002591383","eAPP","0"
"MS","500730","RIO NEGRO","2646862","UNIDADE BASICA DE SAUDE RIO NEGRO","0001554220","eAPP","14"
"MS","500660","PONTA PORÃ","6032826","UNIDADE PRISIONAL MASCULINA DE PONTA PORA","0000444065","eAPP","1111"
"MS","500450","ITAPORÃ","2360993","ESF PIONEIRA ARLEI DO NASCIMENTO TEIXEIRA","0002275414","eAPP","2"
"MS","500570","NAVIRAÍ","6150616","UNIDADE DE SAUDE PRISIONAL","0000443344","eAPP","1650"
"MS","500330","COXIM","7468407","UNIDADE PRISIONAL AGEPEN COXIM","0001519859","eAPP","735"
"MS","500348","DOIS IRMÃOS DO BURITI","6254896","PENITENCIARIA DE DOIS IRMAOS DO BURITI","0000441627","eAPP","1143"
"MS","500270","CAMPO GRANDE","7975783","MODULO DE SAUDE DO COMPLEXO PENITENCIARIO DE CAMPO GRANDE MS","0001613480","eAPP","2897"
"MS","500270","CAMPO GRANDE","0010154","SESAU UBS DR ASTROGILDO CARMONA CARLOTA","0001482696","eSF","3148"
"MS","500270","CAMPO GRANDE","0024473","SESAU UBS BAIRRO CORONEL ANTONINO","0001675958","eSF","3359"
"MS","500270","CAMPO GRANDE","0010251","SESAU UBS DR ALBERTO NEDER CAICARA","0000439282","eSF","2009"
"MS","500270","CAMPO GRANDE","0024473","SESAU UBS BAIRRO CORONEL ANTONINO","0000439835","eSF","1675"
"MS","500270","CAMPO GRANDE","0024449","SESAU UBS DR SEBASTIAO ELOY PEREIRA JARDIM AERO RANCHO","0000439754","eSF","3444"
"MS","500270","CAMPO GRANDE","0010189","SESAU UBS DR NICOLAU FRAGELLI LAR DO TRABALHADOR","0002343355","eAP-20h","1215"
"MS","500270","CAMPO GRANDE","0024465","SESAU UBS ENG ARTHUR HOKAMA DONA NETA GUANANDI","0002343045","eAP-20h","774"
