"Uf","IBGE","Municipio","CNES","Estabelecimento","INE","Sigla da equipe","Populaçao"
"MS","500370","DOURADOS","2710897","UNIDADE BASICA DE SAUDE VILA ROSA","0001638572","eAP","3708"
"MS","500200","BATAYPORÃ","2376717","ESTRATEGIA DE SAUDE DA FAMILIA SANTA LUZIA","0001689118","eAPP","13"
"MS","500270","CAMPO GRANDE","0010162","SESAU UBS DR IVAN HIDELBRAND DA COSTA BURITI","0000439053","-","2952"
"MS","500270","CAMPO GRANDE","0010162","SESAU UBS DR IVAN HIDELBRAND DA COSTA BURITI","0000439061","-","2693"
"MS","500270","CAMPO GRANDE","0024430","SESAU UBS DR GERMANO BARROS DE SOUZA UNIVERSITARIO","0000439703","-","3474"
"MS","500270","CAMPO GRANDE","0024430","SESAU UBS DR GERMANO BARROS DE SOUZA UNIVERSITARIO","0000439711","-","2626"
"MS","500270","CAMPO GRANDE","0024473","SESAU UBS BAIRRO CORONEL ANTONINO","0000439835","-","2385"
"MS","500270","CAMPO GRANDE","0010154","SESAU UBS DR ASTROGILDO CARMONA CARLOTA","0001482696","-","2824"
"MS","500270","CAMPO GRANDE","0024473","SESAU UBS BAIRRO CORONEL ANTONINO","0001675958","-","2938"
"MS","500790","SIDROLÂNDIA","7040938","POSTO DE SAUDE INDIGENA ALDEIA TERERE","0002123614","eAP","0"
"MS","500270","CAMPO GRANDE","0010251","SESAU UBS DR ALBERTO NEDER CAICARA","0000439282","-","2067"
"MS","500470","IVINHEMA","2676567","ESF GUIRAY","0001543490","eAPP","224"
"MS","500730","RIO NEGRO","2646862","UNIDADE BASICA DE SAUDE RIO NEGRO","0001554220","eAPP","15"
"MS","500240","CAARAPÓ","2376180","POLICLINICA CAARAPO","0001565524","eAPP","177"
"MS","500660","PONTA PORÃ","6032826","UNIDADE PRISIONAL MASCULINA DE PONTA PORA","0000444065","eAPP","1291"
"MS","500330","COXIM","7468407","UNIDADE PRISIONAL AGEPEN COXIM","0001519859","eAPP","598"
"MS","500570","NAVIRAÍ","6150616","UNIDADE DE SAUDE PRISIONAL","0000443344","eAPP","1262"
"MS","500348","DOIS IRMÃOS DO BURITI","6254896","PENITENCIARIA DE DOIS IRMAOS DO BURITI","0000441627","eAPP","753"
"MS","500270","CAMPO GRANDE","7975783","MODULO DE SAUDE DO COMPLEXO PENITENCIARIO DE CAMPO GRANDE MS","0001613480","eAPP","3438"
"MS","500830","TRÊS LAGOAS","2757044","UNIDADE BASICA DE SAUDE ALTAIR CABRAL TRANIM","0002172216","eAP-30h","0"
"MS","500620","NOVA ANDRADINA","3881032","ESF CENTRO","0001711717","eSF","1486"
"MS","500270","CAMPO GRANDE","7096895","SESAU USF DR HELIO MARTINS COELHO BATISTAO","0001707906","eSF","1802"
"MS","500270","CAMPO GRANDE","0301825","SESAU USF DRA REGIA JUSSARA F DE BARROS AERO RANCHO GRANJA","0002127342","eSF","2834"
"MS","500270","CAMPO GRANDE","9983449","SESAU USF DR CARLOS A JURGIELEWCZ CRISTO REDENTOR","0001717359","eSF","2425"
"MS","500270","CAMPO GRANDE","0028789","SESAU USF DR JUDSON TADEU RIBAS MORENINHA III","0001705792","eSF","2329"
"MS","500620","NOVA ANDRADINA","0187941","ESF UNIVERSITARIO","0002022532","eSF","2133"
"MS","500510","JATEÍ","2646803","UNIDADE DE SAUDE DA FAMILIA GLEBA NOVA ESPERANCA","0000442909","eSF","1439"
"MS","500830","TRÊS LAGOAS","9615946","UBS NOVO OESTE PASTOR MARCOS ROGERIO","0001655841","eSF","5082"
"MS","500320","CORUMBÁ","2376105","UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS","0000441074","eSF","4295"
"MS","500370","DOURADOS","2710862","UNIDADE BASICA DE SAUDE DR MOACIR STEIN ARRUDA","0000441732","eSF","2361"
"MS","500370","DOURADOS","5592607","UNIDADE BASICA DE SAUDE LEVY SCHAUZ CABECEIRA ALEGRE","0001623125","eSF","2665"
"MS","500270","CAMPO GRANDE","0024422","SESAU USF DR ALBINO COIMBRA SANTA CARMELIA","0001614843","eSF","2622"
"MS","500568","MUNDO NOVO","2536846","UNIDADE DE SAUDE DA FAMILIA II MUNDO NOVO","0000443247","eSF","4176"
